04-05-2021,E-TRANSFER CA***Zrx ,,85,8234.12
04-05-2021,E-TRANSFER CA***CjV ,,130,8364.12
04-05-2021,SEND E-TFR CA***kHy ,2825,,5539.12
04-05-2021,SEND E-TFR FEE      ,1.5,,5537.62
04-05-2021,E-TRANSFER CA***Rjs ,,10,5547.62
04-05-2021,E-TRANSFER CA***2EW ,,170,5717.62
04-05-2021,E-TRANSFER CA***K57 ,,1483.13,7200.75
04-05-2021,E-TRANSFER CA***6np ,,20,7220.75
04-05-2021,E-TRANSFER CA***hKS ,,345,7565.75
04-05-2021,E-TRANSFER CA***f5B ,,10,7575.75
04-05-2021,E-TRANSFER CA***2JW ,,750,8325.75
04-05-2021,SEND E-TFR CA***qXx ,565,,7760.75
04-05-2021,SEND E-TFR FEE      ,1.5,,7759.25
04-05-2021,E-TRANSFER CA***MtV ,,400,8159.25
04-06-2021,E-TRANSFER CA***ZhX ,,1100,9259.25
04-06-2021,E-TRANSFER CA***Jq6 ,,1300,10559.25
04-06-2021,E-TRANSFER CA***Mrn ,,80.8,10640.05
04-07-2021,E-TRANSFER CA***E79 ,,86,10726.05
04-07-2021,E-TRANSFER CA***bGy ,,1000,11726.05
04-07-2021,E-TRANSFER CA***9vJ ,,100,11826.05
04-07-2021,SEND E-TFR CA***fqm ,3000,,8826.05
04-07-2021,SEND E-TFR FEE      ,1.5,,8824.55
04-07-2021,E-TRANSFER CA***9Hn ,,423.36,9247.91
04-07-2021,E-TRANSFER CA***Kh9 ,,200,9447.91
04-07-2021,E-TRANSFER CA***yfE ,,1700,11147.91
04-07-2021,E-TRANSFER CA***pjN ,,300,11447.91
04-08-2021,E-TRANSFER CA***Zp9 ,,600,12047.91
04-08-2021,E-TRANSFER CA***TX7 ,,800,12847.91
04-08-2021,E-TRANSFER CA***uDC ,,50,12897.91
04-08-2021,E-TRANSFER CA***NnF ,,58,12955.91
04-08-2021,E-TRANSFER CA***QHY ,,842,13797.91
04-08-2021,E-TRANSFER CA***8sP ,,300,14097.91
04-08-2021,E-TRANSFER CA***Fb7 ,,500,14597.91
04-09-2021,E-TRANSFER CA***3n7 ,,2000,16597.91
04-09-2021,SEND E-TFR CA***Kzy ,79,,16518.91
04-09-2021,SEND E-TFR FEE      ,1.5,,16517.41
04-09-2021,E-TRANSFER CA***Tx2 ,,1675,18192.41
04-09-2021,E-TRANSFER CA***F4J ,,400,18592.41
04-12-2021,E-TRANSFER CA***jGW ,,180,18772.41
